Id,Cert_Type,IsActive
1,ISO 9001:2015  ,1
2,ISO 14001:2015  ,1
3,ISO 45001:2018  ,1
4,Industrial License  ,1
5,Udyam MSME  ,1
6,NSIC,1
7,DRDL,1
8,INDIA DEFENCE MART,1
9,SSI,1
10,GST,1
11,AS9100D & BS EN ISO 9001:2015  ,1
12,Aerospace Quality Management System AS 9100D  ,1
13,CMMI Maturity Level 3  ,1
14,CEMILAC Design Approval,1
15,DSIR R&D Recognition  ,1
16,MSME  ,1
17,DPIIT INDUSTRY LICENSE  ,1
18,ISO/IEC 27001: 2022  ,1
19,Mturity Level 3   ,1
20,Punjab Shop Act-1958  ,1
21,Udhyam Registration Certificate  ,1
22,DPIIT Certificate   ,1
23,Zed Certificate  ,1
24,ISO  ,1
25,EU ATV CERTIFICATION  ,1
26,DQA(WP)   ,1
27,Recognition of in house R & D Units  ,1
28,AS9100D  ,1
29,IMPORTER & EXPORTER CODE  ,1
30,GEM REGISTRATION   ,1
31,NAVAL DOCKYARD REG. CERTIFICATE  ,1
32,Registrar of Companies  ,1
33,FORM-C  ,1
34,STARTUP INDIA  ,1
35,CERTIFICATE OF INCORPORATION  ,1
36,DPIIT INDUSTRY LICENSE  ,1
37,AS9100  ,1
38,Prop  ,1
39,ISO/IEC 27001:2013 Data Security  ,1
40,ISO 9001:2001,1
41,Manufacturer ,1
42,Micro,1
43,AARA MACHINE LICENSE,1
44,ISO 27001:2013,1
45,ZED BRONZE,1
46,SAMAR LEVEL - 1,1
47,AS9100:2016,1
50,Regional Centre for Military Airworthiness(RCMA)Hyd,1
51,"CEMILAC, Bangalore ",1
52,Private Limited,1
53,Raksha Udyami (RUN),1
54,OF Board Registartion Certificate ,1
55,Defence Industry Licence,1
56,Start UP,1
57,FICCI,1
58,SIDM,1
59,AQMS standard certification  AS9100:2016,1
60,Others,1
61,PAN,1
62,IATF 16949,1
63,IEC,1
64,EN 9100:2018,1
65,IATF 16949:2016,1
66,Scope Certificate,1
70,DIPP,1
71,Compliance To CE,1
72,ISO 50001 : 2018,1
73,IBR Approved Well Know Forge,1
74,NABL ISO/IEC –17025 : 2005,1
75,PED 2014/68/EU & AD 2000 EN 764-5,1
76,API 20C,1
77,GreenCo,1
78,AS 9100D,1
79,Contractor,1
80,Dealer,1
81,Service Provider,1
82,Service/Sub-Contractor,1
83,Trader/Authorised Agency (Dealer),1
84,AS 9100C,1
85,NADCAP,1
86,NABL,1
87,ISO 45001:2025,1
88,DGAQA,1
90,Manufacturing License  ,1
91,CIN,1
92,CMMI Maturity Level 5,1
93,FAT Certificate,1
94,Tcl Vendor Code,1
95,AWEIL Vendor Code,1
96,BDL  Vendor Code,1
97,BEL  Vendor Code,1
98,GSL  Vendor Code,1
99,MDL Vendor Code,1
100,GIL Vendor Code,1
101,IOL  Vendor Code,1
102,HAL  Vendor Code,1
