Id,CompanyMaster_FK_ID,CompanyRefNo,CertificateRefNo,Certification_Type,OtherCertification_Type,Certificate_No,Certificate_StartDate,Certificate_EndDate,Final_Submit,IsActive,CreatedBy,CreatedDate,CreatedIP,UpdatedBy,UpdatedDate,UpdatedIP,CertificateType_Fk_Id
1,4357,C27062511591,NULL,5,NULL,UDYAM-MH-33-0003706,06-02-2020,01-02-2030,NULL,1,NULL,24:37.3,NULL,NULL,NULL,NULL,5
3,4357,C27062511591,NULL,93,NULL,PNE24C231,19-02-2025,19-02-2028,NULL,1,NULL,30:15.2,NULL,NULL,NULL,NULL,93
4,13404,C17072574955,NULL,NULL,NULL,UDYAM-MH-19-0014339,10-10-2020,10-10-2030,0,1,1,16:40.1,49.15.204.199,NULL,NULL,NULL,5
5,13404,C17072574955,NULL,NULL,NULL,NSIC/MUM/GP/RS/M/379/MH,22-03-2024,21-03-2026,0,1,1,16:40.1,49.15.204.199,NULL,NULL,NULL,6
6,13404,C17072574955,NULL,NULL,NULL,2.01042E+13,02-03-2023,01-03-2026,0,1,1,16:40.1,49.15.204.199,NULL,NULL,NULL,2
7,13404,C17072574955,NULL,NULL,NULL,2.01162E+13,02-03-2023,01-03-2026,0,1,1,16:40.1,49.15.204.199,NULL,NULL,NULL,3
8,13404,C17072574955,NULL,NULL,NULL,2.01002E+13,02-03-2023,01-03-2026,0,1,1,16:40.1,49.15.204.199,NULL,NULL,NULL,1
9,1571,C17072551212,NULL,NULL,NULL,NSIC/GP/MUM/2021/87305,20-02-2024,31-10-2027,0,1,1,33:11.5,122.252.239.98,NULL,NULL,NULL,6
13,7111,C17072542756,NULL,NULL,NULL,UDYAM-MH-27-0002354,04-09-2020,04-09-2030,0,1,1,37:42.9,49.15.204.199,NULL,NULL,NULL,5
14,699,C17072589642,NULL,NULL,NULL,10253584,02-03-2020,09-03-2023,0,1,1,55:23.6,49.15.204.199,NULL,NULL,NULL,1
15,699,C17072589642,NULL,NULL,NULL,TN11B0001258,05-10-2016,05-10-2018,0,1,1,55:23.6,49.15.204.199,NULL,NULL,NULL,16
16,21,C17072567871,NULL,94,NULL,27AAACM2813L1ZO,NULL,NULL,NULL,1,NULL,29:20.2,NULL,NULL,NULL,NULL,94
17,23,C17072569694,NULL,94,NULL,24AAACR5055K1ZD,NULL,NULL,NULL,1,NULL,29:20.2,NULL,NULL,NULL,NULL,94
18,25,C17072512730,NULL,94,NULL,33AAACL2632C1Z8,NULL,NULL,NULL,1,NULL,29:20.2,NULL,NULL,NULL,NULL,94
19,29,C17072575913,NULL,94,NULL,33AAACK7940C1ZW,NULL,NULL,NULL,1,NULL,29:20.2,NULL,NULL,NULL,NULL,94
20,31,C17072566024,NULL,94,NULL,03AAACJ6733E1ZZ,NULL,NULL,NULL,1,NULL,29:20.2,NULL,NULL,NULL,NULL,94
21,32,C17072551946,NULL,94,NULL,08AACCS0486K1Z3,NULL,NULL,NULL,1,NULL,29:20.2,NULL,NULL,NULL,NULL,94
22,33,C17072588621,NULL,94,NULL,24AABCA2398D1Z0,NULL,NULL,NULL,1,NULL,29:20.2,NULL,NULL,NULL,NULL,94
23,36,C17072579553,NULL,94,NULL,27AAACTO220G1XZ,NULL,NULL,NULL,1,NULL,29:20.2,NULL,NULL,NULL,NULL,94
24,37,C17072558327,NULL,94,NULL,27AAECS0561R1ZV,NULL,NULL,NULL,1,NULL,29:20.2,NULL,NULL,NULL,NULL,94
25,47,C17072565592,NULL,94,NULL,09AALCA4722D1ZU,NULL,NULL,NULL,1,NULL,29:20.2,NULL,NULL,NULL,NULL,94
26,106,C17072551308,NULL,94,NULL,09AABCS9328K1ZV,NULL,NULL,NULL,1,NULL,29:20.2,NULL,NULL,NULL,NULL,94
27,124,C17072581310,NULL,94,NULL,08AAACB8403F1Z0,NULL,NULL,NULL,1,NULL,29:20.2,NULL,NULL,NULL,NULL,94
28,144,C17072565834,NULL,94,NULL,09AAACP0371Q1Z2,NULL,NULL,NULL,1,NULL,29:20.2,NULL,NULL,NULL,NULL,94
29,434,C17072523025,NULL,94,NULL,09AAACA7569D1ZM,NULL,NULL,NULL,1,NULL,29:20.2,NULL,NULL,NULL,NULL,94
30,441,C17072574793,NULL,94,NULL,24AAACN5327L1ZG,NULL,NULL,NULL,1,NULL,29:20.2,NULL,NULL,NULL,NULL,94
31,448,C17072541129,NULL,94,NULL,27AAACM2725R1Z3,NULL,NULL,NULL,1,NULL,29:20.2,NULL,NULL,NULL,NULL,94
32,526,C17072522999,NULL,94,NULL,06AAACS0322C1Z7,NULL,NULL,NULL,1,NULL,29:20.2,NULL,NULL,NULL,NULL,94
33,529,C17072558061,NULL,94,NULL,08AABCB0639G1ZZ,NULL,NULL,NULL,1,NULL,29:20.2,NULL,NULL,NULL,NULL,94
34,548,C17072595098,NULL,94,NULL,07AAACP0164H1ZQ,NULL,NULL,NULL,1,NULL,29:20.2,NULL,NULL,NULL,NULL,94
35,551,C17072577636,NULL,94,NULL,06AAACS0512J2ZR,NULL,NULL,NULL,1,NULL,29:20.2,NULL,NULL,NULL,NULL,94
36,598,C17072588958,NULL,94,NULL,27AAACS6430P1ZZ,NULL,NULL,NULL,1,NULL,29:20.2,NULL,NULL,NULL,NULL,94
37,690,C17072566082,NULL,94,NULL,09AAACH4642J1ZI,NULL,NULL,NULL,1,NULL,29:20.2,NULL,NULL,NULL,NULL,94
38,703,C17072594836,NULL,94,NULL,19AABCP5284B1ZH,NULL,NULL,NULL,1,NULL,29:20.2,NULL,NULL,NULL,NULL,94
39,903,C17072540139,NULL,94,NULL,27AAACV5494J1ZU,NULL,NULL,NULL,1,NULL,29:20.2,NULL,NULL,NULL,NULL,94
40,908,C17072586990,NULL,94,NULL,24AAACC8513B2Z9,NULL,NULL,NULL,1,NULL,29:20.2,NULL,NULL,NULL,NULL,94
41,912,C17072549756,NULL,94,NULL,06AAECT7782P1ZH,NULL,NULL,NULL,1,NULL,29:20.2,NULL,NULL,NULL,NULL,94
42,922,C17072557536,NULL,94,NULL,34AAACT5589Q1ZJ,NULL,NULL,NULL,1,NULL,29:20.2,NULL,NULL,NULL,NULL,94
43,928,C17072535508,NULL,94,NULL,33AACCB3382R1ZC,NULL,NULL,NULL,1,NULL,29:20.2,NULL,NULL,NULL,NULL,94
44,939,C17072579778,NULL,94,NULL,03AAACB9911E1Z5,NULL,NULL,NULL,1,NULL,29:20.2,NULL,NULL,NULL,NULL,94
45,940,C17072511710,NULL,94,NULL,08AABCM4955E1ZH,NULL,NULL,NULL,1,NULL,29:20.2,NULL,NULL,NULL,NULL,94
46,942,C17072565633,NULL,94,NULL,09AAACK5992J1Z0,NULL,NULL,NULL,1,NULL,29:20.2,NULL,NULL,NULL,NULL,94
47,944,C17072593078,NULL,94,NULL,09AABCV1571F1ZE,NULL,NULL,NULL,1,NULL,29:20.2,NULL,NULL,NULL,NULL,94
