Id,CompanyMaster_FK_ID,CompanyRefNo,ProductRefNo,ProductName,ProductDesc,NSNNumber,HSNCode,FutureExpansion,SIUnit_Fk_Id,AnnualProductionCapacity,ProductImage,ProductCertificateDet,ProductType_Fk_Id,DefencePlatform_Fk_Id,PTAType_Fk_Id,SalientFeature,PARTNo,Remarks,ItemExported,Final_Submit,IsActive,CreatedBy,CreatedDate,CreatedIP,UpdatedBy,UpdatedDate,UpdatedIP,OtherDefencePlatform,OtherTypeProduct,OtherPTA
592,206,NULL,NULL,CASTINGS AND FABRICATION,,,8454,,1,,,,0,0,1,,NULL,NULL,0,0,1,1,01:13.1,NULL,1,29:21.8,210.212.221.231,NULL,NULL,NULL
15751,206,C17072528335,NULL,Cast Iron Mould,Cast Iron Mould for Solidification of Molten Steels and Aloys,,84542010,,1,,,,0,0,1,,NULL,NULL,0,0,1,1,26:36.4,210.212.221.231,1,29:21.8,210.212.221.231,NULL,NULL,NULL
15752,206,C17072528335,NULL,Cast Iron Slag Pot,,,84542010,,1,,,,0,0,1,,NULL,NULL,0,0,1,1,26:36.4,210.212.221.231,1,29:21.8,210.212.221.231,NULL,NULL,NULL
15753,1013,C17072520242,NULL,Burnt Lime,,,,,5,,,,0,0,1,,NULL,NULL,0,0,1,1,37:22.5,210.212.221.231,NULL,NULL,NULL,NULL,NULL,NULL
15755,5706,C17072561996,NULL,Fabric,FABRIC,1510,,,11,,,,9,1,9,,NULL,NULL,0,0,1,1,56:57.4,117.250.35.131,1,02:22.4,117.250.35.131,NULL,NULL,NULL
15756,10460,C17072585975,NULL,Waterproofing works,,,,,0,,,,0,0,0,,NULL,NULL,0,0,1,1,13:03.6,210.212.221.231,NULL,NULL,NULL,NULL,NULL,NULL
15757,15664,C17072571042,NULL,Manpower Services,,,,,0,,,,0,0,9,,NULL,NULL,0,0,1,1,13:45.8,210.212.221.231,NULL,NULL,NULL,NULL,NULL,NULL
15758,6176,C17072577248,NULL,civil works,,,,,0,,,,0,0,0,,NULL,NULL,0,0,1,1,15:46.1,112.133.220.98,NULL,NULL,NULL,NULL,NULL,NULL
15759,323,C17072593088,NULL,CABLES FOR SUBMARINE,,,,,11,,,,0,0,2,,NULL,NULL,0,0,1,1,16:13.3,122.252.239.98,NULL,NULL,NULL,NULL,NULL,NULL
15760,2566,C17072548049,NULL,ALUMINIUM ALLOY TUBES OR PIPES VARIOUS,,,,,5,,,,16,34,1,,NULL,NULL,0,0,1,1,27:03.4,202.176.2.254,1,39:10.6,202.176.2.254,NULL,NULL,NULL
15761,1571,C17072551212,NULL,BIODIGESTER TANK,,,,,13,,,,0,0,5,,NULL,NULL,0,0,1,1,31:18.6,122.252.239.98,NULL,NULL,NULL,NULL,NULL,NULL
15762,7111,C17072542756,NULL,TRANSPORTATION,,,,0,12,0,,OTHERS,0,0,9,,NULL,NULL,0,0,1,1,40:36.5,49.15.204.199,NULL,NULL,NULL,NULL,NULL,NULL
15763,4750,C17072554545,NULL,WELDING WIRE,WELDING WIRE,3439,,,0,,,,0,10,0,LN9425-1.7734.2 / 8CD12 ESU AIR 9117 / WELDING WIRE DIA 1.6 MM (PIECE OF 1 MTR ROD) WELDING WIRE - DIA 1.6 MM,NULL,NULL,0,0,1,1,47:00.4,49.15.204.199,NULL,NULL,NULL,NULL,NULL,NULL
15764,10598,C17072557577,NULL,Tally Plates,,,,,1,,,,0,0,9,,NULL,NULL,0,0,1,1,50:18.8,202.148.56.146,NULL,NULL,NULL,NULL,NULL,NULL
15765,699,C17072589642,NULL,Mechanical Power Transmission Equipment(30),,,,,0,,,,0,0,0,,NULL,NULL,0,0,1,1,52:23.6,49.15.204.199,NULL,NULL,NULL,NULL,NULL,NULL
15766,36,C17072579553,NULL,Various Cotton and Synthetic Fabrics,,,,,0,,,,0,0,9,,NULL,NULL,0,0,1,1,55:08.6,202.176.2.254,NULL,NULL,NULL,NULL,NULL,NULL
15767,199,C17072539884,NULL,cathod copper,,,,,7,,,,0,0,9,,NULL,NULL,0,0,1,1,55:47.1,59.95.98.47,NULL,NULL,NULL,NULL,NULL,NULL
15768,5319,C17072561371,NULL,Light Fittings for submarine,Light Fittings for submarine,2090,,,0,,,,5,27,0,,NULL,NULL,0,0,1,1,57:25.8,10.247.118.46,NULL,NULL,NULL,NULL,NULL,NULL
15769,13351,C17072517254,NULL,Flow Meter,,,,,0,,,,0,0,1,,NULL,NULL,0,0,1,1,01:40.4,202.148.56.146,NULL,NULL,NULL,NULL,NULL,NULL
15770,3298,C17072597648,NULL,Air Compressor,AIR COMPRESSOR,2950,40169320,,0,,,,16,14,1,,NULL,NULL,0,0,1,1,03:08.2,202.148.56.146,NULL,NULL,NULL,NULL,NULL,NULL
15771,5713,C17072592934,NULL,Survey Vessels,Survey Vessels,,,,0,,,,0,27,0,SVL,NULL,NULL,0,0,1,1,05:56.1,49.15.204.199,NULL,NULL,NULL,NULL,NULL,NULL
15772,14029,C17072567305,NULL,FABRIC / CLOTH,FABRIC / CLOTH,1510,,,0,,,,9,1,0,,NULL,NULL,0,0,1,1,17:17.4,49.15.204.77,NULL,NULL,NULL,NULL,NULL,NULL
15773,4054,C17072595298,NULL,Incinerator,Incinerator,4430,,,0,,,,5,3,0,Incinerator,NULL,NULL,0,0,1,1,18:31.2,49.15.204.77,NULL,NULL,NULL,NULL,NULL,NULL
15774,2396,C17072524090,NULL,ALUMINIUM MASTER ALLOY,,,,,7,,,,0,0,1,,NULL,NULL,0,0,1,1,19:23.5,59.95.98.47,NULL,NULL,NULL,NULL,NULL,NULL
15775,2335,C17072516084,NULL,MAGNET,MAGNET,1610,,,0,,,,16,10,0,,NULL,NULL,0,0,1,1,20:02.4,49.15.204.77,NULL,NULL,NULL,NULL,NULL,NULL
15776,12988,C17072583132,NULL,MAGNET,MAGNET,1610,,,0,,,,16,10,0,,NULL,NULL,0,0,1,1,21:25.7,49.15.204.77,NULL,NULL,NULL,NULL,NULL,NULL
15777,2787,C17072599871,NULL,ALUMINIUM ALLOY,ALUMINIUM ALLOY,9510,2777,,7,,,,12,57,1,,NULL,NULL,0,0,1,1,23:16.4,59.95.98.47,NULL,NULL,NULL,NULL,NULL,NULL
15778,972,C17072550474,NULL,Various Coated Fabrics,,,,,11,,,,0,0,9,,NULL,NULL,0,0,1,1,23:38.9,202.176.2.254,NULL,NULL,NULL,NULL,NULL,NULL
15779,13899,C17072539002,NULL,satellite communication system(SATCOM),satellite communication system(SATCOM),5810,,,0,,,,1,10,0,SATELLITE COMMUNICATION SYSTEM,NULL,NULL,0,0,1,1,24:01.7,49.15.204.77,NULL,NULL,NULL,NULL,NULL,NULL
15780,8658,C17072599872,NULL,Fire Fighting equipment,,,,,0,,,,0,0,0,,NULL,NULL,0,0,1,1,26:05.8,49.15.204.77,NULL,NULL,NULL,NULL,NULL,NULL
15781,1862,C17072585446,NULL,CORRUGATED FIBRE BOARD BOXES,,,,,1,,,,0,0,9,,NULL,NULL,0,0,1,1,27:33.2,59.95.98.47,NULL,NULL,NULL,NULL,NULL,NULL
15782,1847,C17072537368,NULL,Various Non Woven and Synthetic Fabrics ,,,,,11,,,,0,0,9,,NULL,NULL,0,0,1,1,28:49.9,202.176.2.254,NULL,NULL,NULL,NULL,NULL,NULL
15783,15105,C17072598152,NULL,"Fabrications, erection, electrical and piping works ",,,,,0,,,,0,0,0,,NULL,NULL,0,0,1,1,30:19.9,49.15.204.77,NULL,NULL,NULL,NULL,NULL,NULL
15784,1825,C17072538417,NULL,Various Coated Fabrics,,,,,11,,,,0,0,9,,NULL,NULL,0,0,1,1,31:32.3,202.176.2.254,NULL,NULL,NULL,NULL,NULL,NULL
15785,13611,C17072510745,NULL,FOAL Items,,,,,0,,,,0,0,0,,NULL,NULL,0,0,1,1,32:30.2,49.15.204.77,NULL,NULL,NULL,NULL,NULL,NULL
15786,2127,C17072562919,NULL,Press Tools ,,,,,0,,,,0,0,0,,NULL,NULL,0,0,1,1,33:36.5,49.15.204.77,NULL,NULL,NULL,NULL,NULL,NULL
15787,15315,C17072577070,NULL,FILTTERS,,,,,0,,,,12,27,0,,,,0,0,1,1,36:11.1,49.15.204.77,dgmmdo@hslvizag.in,03:02.0,115.247.13.114,,SHIPS,
15788,14659,C17072548089,NULL,"AIR RECEIVERS, HYDROPHORE TANKS ",,,,,0,,,,0,0,0,,NULL,NULL,0,0,1,1,37:47.0,49.15.204.77,NULL,NULL,NULL,NULL,NULL,NULL
15789,5847,C17072527574,NULL,Various Plastic Slide Fastener ,,,,,1,,,,0,0,9,,NULL,NULL,0,0,1,1,38:22.3,202.176.2.254,NULL,NULL,NULL,NULL,NULL,NULL
15790,4637,C17072569056,NULL,"POLYTHENE BAG, COLD ROLLED",,,,,1,,,,0,0,9,,NULL,NULL,0,0,1,1,38:30.6,59.95.98.47,NULL,NULL,NULL,NULL,NULL,NULL
15791,5760,C17072587301,NULL,Life raft for submarine,Life raft for submarine,2090,,,0,,,,5,27,0,,NULL,NULL,0,0,1,1,40:27.4,49.15.204.77,NULL,NULL,NULL,NULL,NULL,NULL
15792,5760,C17072587301,NULL,"LIFEBOAT,MOTOR(14258)",,,,,0,,,,0,0,0,,NULL,NULL,0,0,1,1,40:27.4,49.15.204.77,NULL,NULL,NULL,NULL,NULL,NULL
15793,10315,C17072512243,NULL,CABLE ACCESSORY ASSY                    ,CABLE ACCESSORY ASSY                    ,5999,8541,,0,,,,16,25,0,Electrical and Electronic Equipment Components(59),NULL,NULL,0,0,1,1,42:18.9,49.15.204.77,NULL,NULL,NULL,NULL,NULL,NULL
15794,124,C17072581310,NULL,Various Cotton and Synthetic Fabrics ,,,,,11,,,,0,0,9,,NULL,NULL,0,0,1,1,42:20.6,202.176.2.254,NULL,NULL,NULL,NULL,NULL,NULL
15795,1456,C17072529491,NULL,FIRE DETECTION SYSTEM,FIRE DETECTION SYSTEM,6340,,,0,,,,3,1,0,ELECTRONICS,NULL,NULL,0,0,1,1,44:52.3,49.15.204.77,NULL,NULL,NULL,NULL,NULL,NULL
15796,15050,C17072535299,NULL,PIPE FITTINGS AND PIPE MATERIALS,,,,,0,,,,0,0,0,,NULL,NULL,0,0,1,1,46:41.9,49.15.204.77,NULL,NULL,NULL,NULL,NULL,NULL
15797,14587,C17072573958,NULL,manpower supply,,,,,0,,,,0,0,0,,NULL,NULL,0,0,1,1,48:55.0,49.15.204.77,NULL,NULL,NULL,NULL,NULL,NULL
15798,14584,C17072590800,NULL,chequered plates ,,,,,0,,,,0,0,0,,NULL,NULL,0,0,1,1,50:14.6,49.15.204.77,NULL,NULL,NULL,NULL,NULL,NULL
15799,5759,C17072548954,NULL,"Aircraft refueling, Ground Support Equipment",,,,,0,,,,0,0,0,,NULL,NULL,0,0,1,1,53:31.3,49.15.204.77,NULL,NULL,NULL,NULL,NULL,NULL
15800,7208,C17072544063,NULL,Various Coated Fabrics,,,,,11,,,,0,0,9,,NULL,NULL,0,0,1,1,54:15.2,202.176.2.254,NULL,NULL,NULL,NULL,NULL,NULL
15801,2508,C17072526269,NULL,CASTING,CASTING,1560,,,0,,,,0,1,0,CASTING,NULL,NULL,0,0,1,1,54:19.6,49.15.204.77,NULL,NULL,NULL,NULL,NULL,NULL
15802,14280,C17072546571,NULL,Manpower Supply,,,,,0,,,,0,0,0,,NULL,NULL,0,0,1,1,55:18.9,49.15.204.77,NULL,NULL,NULL,NULL,NULL,NULL
15803,3221,C17072598648,NULL,VALVES,,,,,0,,,,0,0,0,,NULL,NULL,0,0,1,1,56:33.3,49.15.204.77,NULL,NULL,NULL,NULL,NULL,NULL
15804,4546,C17072598323,NULL,Alternators for Ships (Up to 1.5 MW),,,,,0,,,,0,0,0,,NULL,NULL,0,0,1,1,57:27.5,49.15.204.77,NULL,NULL,NULL,NULL,NULL,NULL
15805,10567,C17072593712,NULL,Various Cotton and Dope Dyed Fabrics and Garniture items,,,,,11,,,,0,0,9,,NULL,NULL,0,0,1,1,57:32.4,202.176.2.254,NULL,NULL,NULL,NULL,NULL,NULL
15806,10332,C17072561931,NULL,Alarm Monitoring System ,,,,,0,,,,0,0,0,,NULL,NULL,0,0,1,1,59:42.4,10.247.118.46,NULL,NULL,NULL,NULL,NULL,NULL
15807,1002,C17072589663,NULL,Various Non Woven Fabrics,,,,,11,,,,0,0,9,,NULL,NULL,0,0,1,1,00:17.2,202.176.2.254,NULL,NULL,NULL,NULL,NULL,NULL
15808,4077,C17072561297,NULL,fire alarm system,,,,,0,,,,0,0,0,,NULL,NULL,0,0,1,1,02:02.4,49.15.204.77,NULL,NULL,NULL,NULL,NULL,NULL
15809,4077,C17072561297,NULL,fire alarm system,,,,,0,,,,0,0,0,,NULL,NULL,0,0,1,1,02:04.9,10.247.118.46,NULL,NULL,NULL,NULL,NULL,NULL
15810,4077,C17072561297,NULL,fire alarm system,,,,,0,,,,0,0,0,,NULL,NULL,0,0,1,1,02:05.4,10.247.118.46,NULL,NULL,NULL,NULL,NULL,NULL
15811,4077,C17072561297,NULL,fire alarm system,,,,,0,,,,0,0,0,,NULL,NULL,0,0,1,1,02:16.3,49.15.204.77,NULL,NULL,NULL,NULL,NULL,NULL
15812,32,C17072551946,NULL,Various Cotton and Synthetic Fabrics,,,,,11,,,,0,0,0,,NULL,NULL,0,0,1,1,04:27.5,202.176.2.254,NULL,NULL,NULL,NULL,NULL,NULL
15813,703,C17072594836,NULL,Various RUBBERISED Fabrics,,,,,11,,,,0,0,9,,NULL,NULL,0,0,1,1,06:47.8,202.176.2.254,NULL,NULL,NULL,NULL,NULL,NULL
15814,949,C17072593042,NULL,Various Non Woven Fabrics,,,,,11,,,,0,0,9,,NULL,NULL,0,0,1,1,08:51.2,202.176.2.254,NULL,NULL,NULL,NULL,NULL,NULL
15815,1815,C17072575558,NULL,Various Coated Fabrics,,,,,11,,,,0,0,9,,NULL,NULL,0,0,1,1,11:48.5,202.176.2.254,NULL,NULL,NULL,NULL,NULL,NULL
15816,942,C17072565633,NULL,Various Non Woven Fabrics,,,,,11,,,,0,0,9,,NULL,NULL,0,0,1,1,23:15.1,202.176.2.254,NULL,NULL,NULL,NULL,NULL,NULL
15817,3851,C17072523451,NULL,LONG RADIUS BENDS,,,,,0,,,,0,0,0,,NULL,NULL,0,0,1,1,26:58.1,61.1.160.81,NULL,NULL,NULL,NULL,NULL,NULL
15818,3873,C17072584803,NULL,OVERHEAD CRANE ,,,,,0,,,,0,0,0,,NULL,NULL,0,0,1,1,30:25.9,210.212.221.231,NULL,NULL,NULL,NULL,NULL,NULL
15819,15346,C17072529454,NULL,TRAVEL SERVICES,,,,,0,,,,0,0,0,,NULL,NULL,0,0,1,1,32:07.5,115.247.13.114,NULL,NULL,NULL,NULL,NULL,NULL
