Id,CompanyMaster_FK_ID,IDMId,CompanyRefNo,RDRefNo,RDCategory_Fk_Id,RDSubCategory_Fk_Id,RD_Details,IsNablAccredited,IsActive,Final_Submit,CreatedBy,CreatedDate,CreatedIP,UpdatedBy,UpdatedDate,UpdatedIP,otherRDCategory,otherRDSubCategory
1,4357,NULL,C27062511591,NULL,11,25,DESIGNING & DEVELOPINNG WORKING IN VARIOUS INDUSTRIES & MECHANICAL ENGINEERING STRONG BACKGROUND IS OUR STRENGTH.,NULL,1,NULL,NULL,58:21.9,NULL,NULL,NULL,NULL,NULL,NULL
2,989,NULL,C17072510213,NULL,11,2,FOR TEXTILE ITEMS,NULL,1,0,hsyadav1@ord.gov.in,41:59.4,117.251.103.193,NULL,NULL,NULL,,
3,11556,NULL,C17072543450,NULL,11,1,Development of New Metal Item as per required specification,NULL,1,0,hsyadav1@ord.gov.in,45:57.0,117.251.103.193,NULL,NULL,NULL,,
4,1535,NULL,C17072522744,NULL,11,1,ADVANCED TESTING AS PER REQUIREMENT,NULL,1,0,hsyadav1@ord.gov.in,21:03.5,117.251.103.193,NULL,NULL,NULL,,
5,1535,NULL,C17072522744,NULL,11,1,ADVANCED TESTING AS PER REQUIREMENT,NULL,1,0,hsyadav1@ord.gov.in,23:53.2,117.251.103.193,NULL,NULL,NULL,,
6,10567,NULL,C17072593712,NULL,11,1,AS PER REQUIREMENT,NULL,1,0,hsyadav1@ord.gov.in,52:39.8,117.251.103.193,NULL,NULL,NULL,,
7,10567,NULL,C17072593712,NULL,11,1,AS PER REQUIREMENT,NULL,1,0,hsyadav1@ord.gov.in,56:55.1,117.251.103.193,NULL,NULL,NULL,,
8,124,NULL,C17072581310,NULL,11,1,AS PER REQUIREMENT,NULL,1,0,hsyadav1@ord.gov.in,22:12.7,117.251.103.193,NULL,NULL,NULL,,
9,598,NULL,C17072588958,NULL,11,2,AS PER REQUIREMENT,NULL,1,0,hsyadav1@ord.gov.in,32:22.6,117.251.103.193,NULL,NULL,NULL,,
10,990,NULL,C17072554204,NULL,11,2,AS PER REQUIREMENT,NULL,1,0,hsyadav1@ord.gov.in,40:00.1,117.251.103.193,NULL,NULL,NULL,,
11,208,NULL,C17072512321,NULL,11,2,AS PER REQUIREMENT,NULL,1,0,hsyadav1@ord.gov.in,54:11.1,117.251.103.193,NULL,NULL,NULL,,
12,62,NULL,C17072515833,NULL,11,2,,NULL,1,0,hsyadav1@ord.gov.in,03:49.9,117.251.103.193,NULL,NULL,NULL,,
13,62,NULL,C17072515833,NULL,11,2,,NULL,1,0,hsyadav1@ord.gov.in,11:45.2,117.251.103.193,NULL,NULL,NULL,,
14,62,NULL,C17072515833,NULL,11,2,,NULL,1,0,hsyadav1@ord.gov.in,12:53.6,117.251.103.193,NULL,NULL,NULL,,
15,62,NULL,C17072515833,NULL,11,2,,NULL,1,0,hsyadav1@ord.gov.in,14:02.9,117.251.103.193,NULL,NULL,NULL,,
16,944,NULL,C17072593078,NULL,11,1,AS PE REQUIREMENT,NULL,1,0,hsyadav1@ord.gov.in,25:03.2,117.251.103.193,NULL,NULL,NULL,,
17,6772,NULL,C17072554302,NULL,11,2,,NULL,1,0,hsyadav1@ord.gov.in,41:13.9,117.251.103.193,NULL,NULL,NULL,,
18,995,NULL,C17072564741,NULL,11,2,,NULL,1,0,hsyadav1@ord.gov.in,50:04.1,117.251.103.193,NULL,NULL,NULL,,
19,8862,NULL,C17072564939,NULL,11,1,,NULL,1,0,hsyadav1@ord.gov.in,55:28.1,117.251.103.193,NULL,NULL,NULL,,
20,36,NULL,C17072579553,NULL,11,1,,NULL,1,0,hsyadav1@ord.gov.in,29:07.4,117.251.103.193,NULL,NULL,NULL,,
21,14,NULL,C17072512956,NULL,11,1,AS PER SPECIFICATION,NULL,1,0,hsyadav1@ord.gov.in,04:12.5,117.251.103.193,NULL,NULL,NULL,,
22,12134,NULL,C17072560866,NULL,11,1,AS PER SPECIFICATION,NULL,1,0,hsyadav1@ord.gov.in,06:16.2,117.251.103.193,NULL,NULL,NULL,,
23,971,NULL,C17072598909,NULL,11,1,AS PER REQUIREMENT,NULL,1,0,hsyadav1@ord.gov.in,18:14.7,117.251.103.193,NULL,NULL,NULL,,
24,11767,NULL,C17072564611,NULL,11,1,AS PER SPECIFICATION,NULL,1,0,hsyadav1@ord.gov.in,26:12.3,117.251.103.193,NULL,NULL,NULL,,
25,11767,NULL,C17072564611,NULL,11,1,,NULL,1,0,hsyadav1@ord.gov.in,26:25.9,117.251.103.193,NULL,NULL,NULL,,
26,548,NULL,C17072595098,NULL,11,1,AS PER SPECIFICATION,NULL,1,0,hsyadav1@ord.gov.in,59:51.5,117.251.103.193,NULL,NULL,NULL,,
27,5813,NULL,C17072558344,NULL,12,38,AS PER REQUIREMENT,NULL,1,0,hsyadav1@ord.gov.in,57:39.6,117.251.103.193,NULL,NULL,NULL,,
28,11623,NULL,C17072597753,NULL,11,1,AS PER REQUIREMENT,NULL,1,0,hsyadav1@ord.gov.in,58:41.4,117.251.103.193,NULL,NULL,NULL,,
29,998,NULL,C17072547004,NULL,11,2,AS PER REQUIREMENT,NULL,1,0,hsyadav1@ord.gov.in,17:07.7,117.251.103.193,NULL,NULL,NULL,,
