Id,IndustrySubDomainName,CreatedDate,CreatedBy,IsActive
1,Platform,14:52.8,NULL,1
2,Equipment,14:52.8,NULL,1
3,Weapon System,14:52.8,NULL,1
4,Sensors,14:52.8,NULL,1
5,Systems,14:52.8,NULL,1
6,Communication & IT System,14:52.8,NULL,1
7,Munition,14:52.8,NULL,1
8,Simulators,14:52.8,NULL,1
9,Tanks,14:52.8,NULL,1
10,Infantry Combat Vehicles (ICV),14:52.8,NULL,1
11,Armoured Recovery Vehicles (ARV),14:52.8,NULL,1
12,High Mobility Vehicles,14:52.8,NULL,1
13,Small Arms,14:52.8,NULL,1
14,Artillery Guns,14:52.8,NULL,1
15,Fighter Aircraft,14:52.8,NULL,1
16,Transport Aircraft,14:52.8,NULL,1
17,Trainer Aircraft,14:52.8,NULL,1
18,Surveillance Aircraft,14:52.8,NULL,1
19,Helicopter,14:52.8,NULL,1
20,Submarines,14:52.8,NULL,1
21,"Warships (Destroyers, Frigates, Corvettes, Boat, Vessels)",14:52.8,NULL,1
22,UAV,14:52.8,NULL,1
23,Radars,14:52.8,NULL,1
24,Small Arms Ammunitions and Artillery Ammunitions,14:52.8,NULL,1
25,Missiles,14:52.8,NULL,1
26,Software,14:52.8,NULL,1
27,Others,14:52.8,NULL,0
28,UNMANNED AIR VEHICLES AND ASSOCIATED EQUIPMENTS,14:52.8,NULL,1
29,CDS Sensor Systems,14:52.8,NULL,1
30,Loitering Munition,14:52.8,NULL,1
31,Range Extension Kits,14:52.8,NULL,1
32,Tele Communication System,14:52.8,NULL,1
33,AERIAL BOMB BODIES ,14:52.8,NULL,1
34,Warships,14:52.8,NULL,1
35,Softwares,14:52.8,NULL,1
36,Mechanical Precision Machined Components,14:52.8,NULL,1
37,Specialty Alloys,14:52.8,NULL,1
38, TRACK T-90/AERIAL BOMB BODIES ,14:52.8,NULL,1
39,Spare Parts,14:52.8,NULL,1
40,"Tanks, Infantry Combat Vehicles (ICV), Armoured Recovery Vehicles (ARV), High Mobility Vehicles",14:52.8,NULL,1
