Id,Organisation_Type,CreatedDate,CreatedBy,IsActive
1,Private Limited Company  ,NULL,NULL,1
2,Public Limited Company  ,NULL,NULL,1
3,One Person Company  ,NULL,NULL,1
4,Limited Liability Partnership  ,NULL,NULL,1
5,Sole Proprietorship  ,NULL,NULL,1
6,Partnership Firm  ,NULL,NULL,1
7,Government Company  ,NULL,NULL,1
8,Foreign Company  ,NULL,NULL,1
9,Producer company  ,NULL,NULL,1
10,Holding and Subsidiary Companies  ,NULL,NULL,1
11,Manufacturing,NULL,NULL,1
12,DGSD,NULL,NULL,1
13,DPSU,NULL,NULL,1
14,Large,NULL,NULL,1
15,SSI,NULL,NULL,1
16,Micro,NULL,NULL,1
17,MSME,NULL,NULL,1
18,NSIC,NULL,NULL,1
19,PSU,NULL,NULL,1
20,Startup,NULL,NULL,1
21,Others,NULL,NULL,1
22,Private Company (Small),NULL,NULL,NULL
23,Manufacturer,NULL,NULL,NULL
24,SMALL,NULL,NULL,NULL
25,Manufacturer Exporter,NULL,NULL,NULL
26,Stainless Steel and Specialty steel Manufacturing,NULL,NULL,NULL
27,comptype1,04:47.8,1,1
