Id,ProductTypeName,IsActive,CreatedBy,CreatedDate
1,System  ,1,NULL,NULL
2,Sub-System  ,1,NULL,NULL
3,Assembly  ,1,NULL,NULL
4,Sub-Assembly  ,1,NULL,NULL
5,LRU  ,1,NULL,NULL
6,Spares & Companents  ,1,NULL,NULL
7,Explosive  ,1,NULL,NULL
8,Ammunition  ,1,NULL,NULL
9,Consumable  ,1,NULL,NULL
10,Software  ,1,NULL,NULL
11,MRO  ,1,NULL,NULL
12,Others,1,NULL,NULL
13,Services,1,NULL,NULL
14,Earth Station Antenna System,1,NULL,NULL
15,Mobile Antenna System ,1,NULL,NULL
16,Component,1,NULL,NULL
17,Textiles,1,NULL,NULL
18,Textile Yarns & fabrics,1,NULL,NULL
19,fabrics,1,NULL,NULL
20,Non-woven fabrics,1,NULL,NULL
21,Woolen Yarn & fabrics,1,NULL,NULL
22,Woolen Yarn & Blankets,1,NULL,NULL
23,Cotton and synthetic fabrics,1,NULL,NULL
24,Boots,1,NULL,NULL
25,Cotton and synthetic fabrics,1,NULL,NULL
26,Multiple LRUs of SAP Electronic Warfare Pods,1,NULL,NULL
27,Upgrade and Refurbishment of Su-30MKI Simulators,1,NULL,NULL
28,Repair and Upgrade of Radars and Avionics,1,NULL,NULL
29,Upgrade of Avionic Systems,1,NULL,NULL
30,Upgrade of Aviation Platforms,1,NULL,NULL
31,Small Arms,1,NULL,NULL
32,Raw Material,1,NULL,NULL
34,Instrument,0,snitesh@midhani-india.in,29:20.7
37,Brass Cartridge cups,0,mcbairwa@ord.gov.in,29:31.2
39,othertype,0,admin@gmail.com,30:08.7
43,cable hanger & Cable Trays,0,M.Mahendran@grse.co.in,31:13.9
49,Plastic Box,0,snitesh@midhani-india.in,32:48.7
51,Cable Hanger & Cable Trays,0,M.Mahendran@grse.co.in,33:33.7
54,Metal Tags,0,snitesh@midhani-india.in,35:03.1
59,Electric Cable & Wires,0,M.Mahendran@grse.co.in,35:55.9
66,Fire Extinguisher,0,M.Mahendran@grse.co.in,38:47.4
69,HT cable for power system,0,mcbairwa@ord.gov.in,39:21.6
81,Raw mater,0,rajkumar@midhani-india.in,43:27.8
112,"petrol , diesel and LDO",0,mcbairwa@ord.gov.in,57:17.3
114,Chemical,0,vendorcell@goashipyard.com,58:01.2
116,FOUNDRY CHEMICAL,0,kajodmalsharma@ord.gov.in,58:36.2
124,REFRACTORY BRICKS,0,kajodmalsharma@ord.gov.in,01:05.2
125,Boat,0,vendorcell@goashipyard.com,01:07.1
137,PENETRANT TEST KIT,0,kajodmalsharma@ord.gov.in,05:42.1
140,"petrol , diesel and LDO",0,mcbairwa@ord.gov.in,06:34.1
186,REFRACTORY ITEM,0,kajodmalsharma@ord.gov.in,34:54.4
192,NDT INSPECTION,0,kajodmalsharma@ord.gov.in,13:43.4
193,FOUNDRY CHEMICAL,0,kajodmalsharma@ord.gov.in,18:39.3
202,PUMPS,0,kajodmalsharma@ord.gov.in,38:50.2
251,FOUNDRY CHEMICAL,0,kajodmalsharma@ord.gov.in,47:25.5
254,REFRACTORY,0,kajodmalsharma@ord.gov.in,58:47.3
255,PACKING BOX,0,pawanjeetsingh@ord.gov.in,59:49.2
265,Appliances,0,vendorcell@goashipyard.com,05:04.0
270,Nylon fabric,0,odc-opf@ord.gov.in,06:59.6
272,REFRACTORY,0,kajodmalsharma@ord.gov.in,08:11.0
293,SPARES FOR DIESEL ENGINE/D.G.SETS,0,M.Mahendran@grse.co.in,17:23.1
294,Civil supply,0,vendorcell@goashipyard.com,17:53.1
300,CARTRIDGE CASES,0,mcbairwa@ord.gov.in,23:49.1
305,FIRE DETECTION SYSTEM,0,M.Mahendran@grse.co.in,26:49.5
306,Machining Works,0,snitesh@midhani-india.in,27:39.5
308,CARTRIDGE CASES,0,mcbairwa@ord.gov.in,29:11.1
309,CNC Machining,0,snitesh@midhani-india.in,29:21.4
310,CASTING NON FERROUS,0,M.Mahendran@grse.co.in,29:46.2
314,TROLLEY-HAND/PLATFORM/WHEEL BARROW,0,M.Mahendran@grse.co.in,32:16.3
315,Grinding and Polishing of Plates,0,snitesh@midhani-india.in,32:38.7
321,PROTECTIVE,0,mcbairwa@ord.gov.in,35:00.9
325,CNC PLASMA PLATE & PROFILE CUTTING.,0,M.Mahendran@grse.co.in,39:04.6
329,PROTECTIVE,0,mcbairwa@ord.gov.in,41:14.6
338,body armor,0,rajkumar@midhani-india.in,48:21.4
340,RUBBERISED FABRICS,0,odc-opf@ord.gov.in,48:54.8
362,Body armor,0,rajkumar@midhani-india.in,03:18.6
369,HULL  PANEL  FABRICATION,0,M.Mahendran@grse.co.in,06:03.8
