Id,CategoryName,IsActive
1,Environmental Testing,1
2,a)  Ferrous material,1
3,ambient air monitoring,1
4,Ammeters (AC/DC),1
5,As per IS 1089 Conventional Method,1
6,Auotomotive,1
7,Automotive,1
8,b)  Non-Ferrous material,1
9,Buttons,1
10,Cables and Wires upto 12 mm dia (Breaking load only),1
11,CALIBRATION LAB,1
12,Calibration Of Universal Testing Machines (Tension & Compression Modes),1
13,Case depth determination by Micro hardness survey per location,1
14,CATH,1
15,Charpy impact at Room temperature,1
16,Charpy impact test at sub zero temperature,1
17,CHEMICAL,1
18,Chemical Analysis,1
19,Chemical analysis by spectrometer,1
20,Chemical and Mechanical,1
21,Chemical- metals & alloys,1
22,Chemical properties,1
23,Chemical Test,1
24,Chemical Testing,1
25,CHEMICAL TESTING LAB,1
26,CHEMICAL TESTING LABORATORY,1
27,Chemical testing of Alloy steel,1
28,Chemical testing of Cast Iron,1
29,CHEMICAL TESTING OF METALS AND ALLOYS,1
30,Chemical testing of Stainless Steel,1
31,CHEMICAL TEXTILE TESTING,1
32,CHEMICAL- TEXTILE TESTING,1
33,"Chemical, Mechanical & Non-Destructive Testing",1
34,CHEMICAL-TEXTILE MATERIALS,1
35,CHEMICAL-TEXTILE TESTING,1
36,Classification and Acceptance Performance,1
37,Coated and Treated Fabrics,1
38,Coated and Treated Facrics,1
39,"Combined Altitude, Temperature and Humidity (CATH) Test",1
40,Computerized Universal Tensile Testing Machine,1
41,Cordage,1
42,Cordages,1
43,Crease Recovery Machine,1
44,Creep and stress rupture test up to 900 deg. Centigrade,1
45,De Mattia Flexing Tester,1
46,Decarburisation test by  a)Micro examination,1
47,Decarburisation test by  b)Hardness survey method,1
48,Digital Brinell Hardness Testing Machine,1
49,Digital Micro Vickers Hardness Testing Machine,1
50,Digital Rockwell Hardness Testing Machine,1
51,Durability,1
52,Electrical : Power Supply Variation  test (9 types),1
53,ELECTRICAL CHECK,1
54,Electrical conductivity check by Eddy current,1
55,Electrical Instrumentation Calibration shop,1
56,Electrical Test,1
57,Electronic Spring Testing Machine,1
58,Electronic Weighing Balance,1
59,EMC TEST FACILITY,1
60,Endurance limit of 10^7 cycles (HCF) at elevated temperature.,1
61,Endurance limit of 10^7 cycles (HCF) at room temperature.,1
62,ENVIRONMENT LABORATORY,1
63,Environmental ,1
64,Environmental Testing,1
65,"MTD section of VFJ has testing and calibration facilities, environmental conditions of  LAB is being maintained as per relevant testing & calibration standards.",1
66,ESS TEST,1
67,ESS Thermal cycling,1
68,Fabirc (Woven and Non woven),1
69,Fabric (Woven and Non woven ),1
70,Fabric (Woven and Non Woven),1
71,"Fabric (Woven, Non Woven & Knitted)",1
72,"Fabric (Woven, Non woven and Knitted)",1
73,"Fabric (Woven, Non-Woven and Knitted)",1
74,Fabric (Wovenand Non Woven),1
75,Fabric(Woven andNon Woven),1
76,"Fabric(Woven, Non Woven & Knitted)",1
77,"Fabric(Woven, Non Woven and Knitted)",1
78,Fabrics (Woven and Non Woven),1
79,Fabrics(Woven and Non Woven,1
80,Fabrics(Woven and Non woven),1
81,"Fabrics(Woven, Non Woven & Knitted)",1
82,"Fabrics(Woven, Non Woven ,Coated and Treated)",1
83,"Fabrics(Woven, Non Woven and Knitted)",1
84,"Fabrics(Woven,Non Woven and Knitted)",1
85,Fastener Hook & Loop,1
86,Fasteners- Hook and Loop,1
87,Fasteners-Hook and Loop,1
88,Fibre Ropes and Cords,1
89,"Finished Fabric(Woven, Non Woven and Knitted Fabric)",1
90,Frequency Meters,1
91,Fused collars and shoulder straps,1
92,Grain size assessment  (Including sample preparation),1
93,HDPE Dot Coated Printed Fusible Interlining Fabric,1
94,Hellical springs (Tension/ Compression),1
95,Hot Plate,1
96,Humidity testing,1
97,Hydraulic hoses,1
98,Hydraulic oil,1
99,Hydraulic pump,1
100,i) Macro Hardness test,1
101,ii) Micro Hardness test (including specimen mounting and polishing),1
102,Inclusion rating in steels,1
103,Indirect Verification  Of  Rockwell Hardness Testers,1
104,Instrumental analysis,1
105,Insulation Meters,1
106,Izod impact at Room temperature,1
107,Knitted Fabrics,1
108,LAB CHEMICAL,1
109,LAB MECHANICAL,1
110,Labels,1
111,Laundrometer,1
112,Macro examination of Forgings for grain flow / Fractographic examination using stereomicroscope,1
113,Material,1
114,MATERIAL TESTING,1
115,Mecahanical Testing,1
116,MECHANICAL,1
117,Mechanical Analysis,1
118,Mechanical properties,1
119,Mechanical testing,1
