Id,TestFacility_Fk_Id,SubCategoryName,Description,IsActive
1,0,Temperature Cycling,NULL,1
2,0, Humidity Chamber,NULL,1
3,0, X-Ray Radiography  Inspection,NULL,1
4,0,% of Elongation,NULL,1
5,0,% of reduction in area,NULL,1
6,0,1. Scanning Electron Microscope 2. Energy Dispersive X-ray spectroscopy,NULL,1
7,0,1. Stereo Microscope 2. Digital Imaging technique,NULL,1
8,0,1000A LOAD BANK AND POWER SOURCE,NULL,1
9,0,Abrasion Resistance Tester for Zipper,NULL,1
10,0,AC HIGH Voltage Test Set,NULL,1
11,0,AC/DC VOLTAGE CURRENT STANDARD,NULL,1
12,0,Acceleration Machine ,NULL,1
13,0,Acetone,NULL,1
14,0,Air Ageing Oven,NULL,1
15,0,"Aircraft Electrical characteristics MIL-STD-704 Version D,E & F",NULL,1
16,0,ALTITUDE,NULL,1
17,0,Alumino Ferric,NULL,1
18,0,Ammunition Protective Composition No 210 Nitrocellulose lacquor,NULL,1
19,0,Ammunition Protective composition No 215 Varnish Oil bitumen RD 1219,NULL,1
20,0,Ammunition Protective Composition No 217 Lacquer clear Nitrocellulose,NULL,1
21,0,ANALOG  PLUNGER DIAL GAUGE,NULL,1
22,0,APC - 2,NULL,1
23,0,APC - 201,NULL,1
24,0,Ash Content,NULL,1
25,0,ATOMIC ABSORPTION SPECTROPHOTOMETER,NULL,1
26,0,Audio Frequency Signal Generation,NULL,1
27,0,Automatic,NULL,1
28,0,AVERAGE GRAIN SIZE MEASUREMENT BY COMPARISION METHOD,NULL,1
29,0,Average grain size of copper alloys,NULL,1
30,0,Barium Chromate,NULL,1
31,0,Basic Lead Stearate,NULL,1
32,0,Bend test,NULL,1
33,0,Bend Test Apparatus,NULL,1
34,0,BEVEL PROTRACTOR,NULL,1
35,0,Bleached Cotton linter  Cellulose ,NULL,1
36,0,Blood Penetration Tester,NULL,1
37,0,Botton Load Tester,NULL,1
38,0,Brinell cum Vicker Hardness Tester,NULL,1
39,0,Brinell Hardness,NULL,1
40,0,Brinell Hardness Test,NULL,1
41,0,Brinell Hardness Test of ferrous & non-ferrous metals,NULL,1
42,0,BRINELL HARDNESS TESTING MACHINE,NULL,1
43,0,Brinnel Hardness Test,NULL,1
44,0,Brinnel Hardness Tester,NULL,1
45,0,BUMP MACHINE,NULL,1
46,0,Bump Test Machine,NULL,1
47,0,Bundesmann Apparatus,NULL,1
48,0,Bursting Strength,NULL,1
49,0,Bursting Strength Tester,NULL,1
50,0,Calcium carbonate,NULL,1
51,0,CALIBRATION,NULL,1
52,0,carbon and low alloy steel,NULL,1
53,0,CARBON AND SULPHUR ANALYSER,NULL,1
54,0,Carbon and sulphur determinator,NULL,1
55,0,Carbon Black,NULL,1
56,0,"CARBON,  SULPHUR DETERMINATOR",NULL,1
57,0,Case depth,NULL,1
58,0,CASE DEPTH (HARDNESS METHOD),NULL,1
59,0,CASE DEPTH (MICROSCOPIC METHOD),NULL,1
60,0,Case Depth Measurement,NULL,1
61,0,CATH Chamber,NULL,1
62,0,CATH Profile testing,NULL,1
63,0,Centrifugal Machine,NULL,1
64,0,Charpy Impact Testing Machine,NULL,0
65,0,Charpy U notch impact test of ferrous alloys,NULL,1
66,0,Charpy V notch impact test at room temperature of ferrous alloys,NULL,1
67,0,Chemical,NULL,1
68,0,CHEMICAL ANALYSIS,NULL,1
69,0,Chemical analysis of  Cast Iron by Optical Emission Spectrometer,NULL,1
70,0,Chemical analysis of  Low Alloy Steel by Optical Emission Spectrometer,NULL,1
71,0,Chemical analysis of  Stainless Steel by Optical Emission Spectrometer,NULL,1
72,0,Chemical analysis of Aluminium and its alloys by Optical Emission Spectrometer,NULL,1
73,0,Chemical analysis of Copper and its alloys by Optical Emission Spectrometer,NULL,1
74,0,Chemical analysis of Tool Steel by Optical Emission Spectrometer,NULL,1
75,0,CHEMICAL ANALYSIS WITH HOT PLATE,NULL,1
76,0,Chemical analysis:Qualitative,NULL,1
77,0,Chemical analysis:Quantitative,NULL,1
78,0,CHEMICAL INORGANIC,NULL,1
79,0,CHEMICAL ORGANIC MATERIAL TESTING,NULL,1
80,0,CLIMATIC CHAMBER,NULL,1
81,0,CLIMATIC CHAMBER AND HUMIDITY CHAMBER,NULL,1
82,0,Climatic Profile Test set-up,NULL,1
83,0,CMM,NULL,1
84,0,COATING THICKNESS GAUGE,NULL,1
85,0,Coating Thickness Guage,NULL,1
86,0,Cobb Test Apparatus,NULL,1
87,0,Color,NULL,1
88,0,Color Shade Card,NULL,1
89,0,Compression set and Air Aging Oven,NULL,1
90,0,COMPRESSION TEST,NULL,1
91,0,Compression Test of Spring,NULL,1
92,0,Compression Testing Machine,NULL,1
93,0,Compressional Recovery Apparatus,NULL,1
94,0,Computerised Brinell Hardness Tester,NULL,1
95,0,Condenser and Hot Plate,NULL,1
96,0,CONE TESTER,NULL,1
97,0,Consistency and Viscosity,NULL,1
98,0,CONVENTIONAL WET METHOD,NULL,1
99,0,Copper Base Alloys,NULL,1
100,0,Corrosion Cabinet,NULL,1
101,0,CORROSION CHAMBER,NULL,1
102,0,Corrosion Testing in Salt bath,NULL,1
103,0,Corrosion Testing in Salt spray chamber,NULL,1
104,0,Counting Glass ,NULL,1
105,0,Crease Recovery Tester,NULL,1
106,0,Crock Meter,NULL,1
107,0,Cross Hatch Cutter,NULL,1
108,0,Curing Test Apparatus,NULL,1
109,0,Current Injector (Primary),NULL,1
110,0,DEAD WEIGHT  TESTER,NULL,1
111,0,DEPTH VERNIER,NULL,1
112,0,Di Ethyl Phthalate,NULL,1
113,0,Di Phenyl Amine,NULL,1
114,0,DIAL GAUGE (LEVER TYPE),NULL,1
115,0,Dibutyl phthalate,NULL,1
116,0,DIGITAL HEIGHT GAUGE,NULL,1
117,0,Digital Impact tester,NULL,1
118,0,Digital Industrial X-Ray Radiography,NULL,1
119,0,Digital Karl Fischer Autotitrator (Moisture Content),NULL,1
120,0,Digital Melting/Boiling Point Instrunment,NULL,1
121,0,DIGITAL OHM METER (MICRO / MILLI),NULL,1
122,0,Digital Refractometer,NULL,1
123,0,Digital Rockiness Hardness Tester,NULL,1
124,0,Digital Rockwell  Hardness Tester,NULL,1
125,0,Digital Rockwell Hardness Tester,NULL,1
126,0,DIGITAL SPRING BALANCE WEIGHING SCALE,NULL,1
127,0,DIGITAL TACHOMETER,NULL,1
128,0,Digital Tensile Strenght Tester,NULL,1
129,0,DIGITAL THERMOMETER WITH SENSOR,NULL,1
130,0,Digital Vernier Caliper,NULL,1
131,0,Digital viscometer,NULL,1
132,0,Direct Reading Spectrometer DV4,NULL,1
133,0,Drape Meter,NULL,1
134,0,Drying time on MS panel,NULL,1
135,0,Durometer Rubber Hardness Tester,NULL,1
136,0,DUST CHAMBER,NULL,1
137,0,Dye Oil Orange,NULL,1
138,0,Electrical Conductivity Check,NULL,1
139,0,ELECTRO DYNAMIC VIBRATION SHAKER,NULL,1
140,0,ELECTROLYSER,NULL,1
141,0,Electromagnetic interference and Electromagnetic Susceptibility Testing,NULL,1
142,0,Electromechanical,NULL,1
143,0,Electromechanical (Automatic) + Hydraulic (Automatic),NULL,1
144,0,Electronic Balance,NULL,1
145,0,ELECTRONIC WEIGHING MACHINE,NULL,1
146,0,Environment Test Chamber,NULL,1
147,0,Environmental Chambers,NULL,1
148,0,ESS Chamber,NULL,1
149,0,Ether,NULL,1
150,0,Ethyl Cellulose,NULL,1
151,0,"Fatigue Testing of compnents viz Sturctures, springs, cushions etc.",NULL,1
152,0,Fineness of grind,NULL,1
153,0,Finish,NULL,1
154,0,Flash Point,NULL,1
155,0,Flattening Test,NULL,1
156,0,Fluke 5500,NULL,1
157,0,Fluke 5500/ Process Calibrators,NULL,1
158,0,FREQUENCY CALIBRATION TEST BENCH,NULL,1
159,0,FTIR Spectrometer,NULL,1
160,0,Fuming Chamber,NULL,1
161,0,General Micro structure Analysis,NULL,1
162,0,Glass Plate and Hot Air Oven,NULL,1
163,0,Gloss Meter,NULL,1
164,0,Gloss Value,NULL,1
165,0,Glycerine  for Nitration,NULL,1
166,0,Grain Size,NULL,1
167,0,Graphite Dry Sulphur Free,NULL,1
168,0,GSM,NULL,1
169,0,GSM pattern & Cutter and Weighing scale,NULL,1
170,0,GSM pattern & Weighing scale,NULL,1
171,0,GSM pattern and Weighing scale,NULL,1
172,0,Hardenss testing of ferrous and non ferrous materials,NULL,1
173,0,HARDNESS,NULL,1
174,0,HARDNESS TESTER SHORE - A,NULL,1
175,0,Hardness Testing,NULL,1
176,0,Heat Resistance Tester for Zipper,NULL,1
177,0,Heating Oven,NULL,1
178,0,"High pressure power pack, 1000 bar",NULL,1
179,0,HIGH VOLTAGE INSULATION BREAKDOWN TESTER - AC,NULL,1
180,0,HIGH VOLTAGE INSULATION BREAKDOWN TESTER - AC/DC,NULL,1
181,0,High Voltage Test Set,NULL,1
182,0,Hot / Cold Chamber,NULL,1
183,0,Hot Air Oven,NULL,1
184,0,Hot and Cold Chamber,NULL,1
185,0,Hot Chamber,NULL,1
186,0,Hot Cold Chamber,NULL,1
187,0,Hot Plate ,NULL,1
188,0,Hot Pressing Apparatus,NULL,1
189,0,Hounsfield Tensometer,NULL,1
190,0,Humidity Chamber,NULL,1
191,0,HUMIDTY CHAMBER,NULL,1
192,0,Hydraulic,NULL,1
193,0,"Hydraulic pump testing, Testing medium: SAE 10 Oil",NULL,1
194,0,Hydro Static Pressure Head Tester,NULL,1
195,0,Image Analyser,NULL,1
196,0,Imapact machine,NULL,1
197,0,IMMERSION CHAMBER,NULL,1
198,0,Impact  Izod Test,NULL,1
199,0,IMPACT CHARPY TEST,NULL,1
200,0,Impact test,NULL,1
201,0,Impact Test Charpy V-Notch,NULL,1
202,0,Impact test Izod V-notch,NULL,1
203,0,Impact Testing Machine,NULL,1
204,0,INCLUSION RATING METHOD A,NULL,1
205,0,Indirect Verification  ,NULL,1
206,0,Inductively Coupled Plasma Optical Emission Spectrometer,NULL,1
207,0,Instrument Calibration Shop,NULL,1
208,0,Insulation Tester,NULL,1
209,0,INSULATION TESTER (MEGGER),NULL,1
210,0,Izod impact test of ferrous alloys,NULL,1
211,0,Izod Testing Machine,NULL,1
212,0,IZOD VALUE AT AMBIENT TEMPERATURE,NULL,1
213,0,Laboratory Oven,NULL,1
214,0,Laundro Meter,NULL,1
215,0,LAUNDROMETER,NULL,1
216,0,LCR Meter,NULL,1
217,0,Leak Test Setup,NULL,1
218,0,Leak Testing Setup,NULL,1
219,0,Leakage Bridge,NULL,1
220,0,LECO  CS  230,NULL,1
