CompanyId,CompanyName,search_text
1,ROSSELL INDIA LIMITED,"ROSSELL INDIA LIMITED ROSSELL INDIA LIMITED ROSSELL INDIA LIMITED West Bengal JINDALTOWERS,BLOCK-B,4THFLOOR,21/1A/3,DARGAROAD,,KOLKATA,West Bengal,700017-India ; nan nan ; nan nan nan ; Tea; ULTRASONIC CLEANING BATH (DUAL CHAMBER)"
2,SKM EGG PRODUCTS EXPORT INDIA LIMITED,"SKM EGG PRODUCTS EXPORT INDIA LIMITED SKM EGG PRODUCTS EXPORT INDIA LIMITED SKM EGG PRODUCTS EXPORT INDIA LIMITED Tamil Nadu NO 133, 133/1, GANDHIJI ROAD,,ERODE,Erode,Tamil Nadu,638001-India ; nan nan ; nan nan nan ; Bakey Mix; Egg Powder; Liquid Egg"
3,KABRA DRUGS LIMITED,"KABRA DRUGS LIMITED KABRA DRUGS LIMITED KABRA DRUGS LIMITED Pharmaceuticals Pharmaceuticals Madhya Pradesh 208 swadesh Bhavan,,2 Press Complex, AB Road,Indore,Indore,Madhya Pradesh,452011-India ; nan nan ; nan nan nan ; Anti-Infective, Cardiovascular, Gastroenterologic, Hormonal, Oncology, and Miscellaneous drugs; Diethyl Ether (Anesthesia); Disinfectant Products; antimicrobial hand wash gel"
4,SALZER ELECTRONICS LIMITED,"SALZER ELECTRONICS LIMITED SALZER ELECTRONICS LIMITED SALZER ELECTRONICS LIMITED Electronics & Electrical Electronics & Electrical Tamil Nadu SAMICHETTI PALAYAMJOTHIPURAM POST COIMBATORE,TAMILNADU,Tamil Nadu,641047-India ; nan nan ; nan nan nan ; Cable Ducts; Cam operated Rotary Switches; Changeover swtiches & Solar Isolators; General Purpose relays; Load Break & Photo Voltaic Switches; Sensors"
5,INGERSOLL-RAND (INDIA) LIMITED,"INGERSOLL-RAND (INDIA) LIMITED INGERSOLL-RAND (INDIA) LIMITED INGERSOLL-RAND (INDIA) LIMITED IT & Software IT & Software Karnataka First Floor, Subramanya Arcade No. 12/1, Bannerghatta Road,Bengaluru,Bangalore,Karnataka,560029-India ; nan nan ; nan nan nan ; Air Compressors & Systems; Air Compressors Dryers; Oil-Flooded Air Compressors; Oil-Free Air Compressors; On-Site Nitrogen Generators; Reciprocating Compressors; industrial air compressors, including oil-flooded and oil-free rotary screw compressors, and reciprocating compressors."
6,GRAPHITE INDIA LIMITED,"GRAPHITE INDIA LIMITED GRAPHITE INDIA LIMITED GRAPHITE INDIA LIMITED IT & Software IT & Software West Bengal 31, CHOWRINGHEE ROAD,,KOLKATA,West Bengal,700016-India ; ; nan nan nan ; Extruded Graphite Mold; Graphite Tubes; Heat Exchanger Tubes; Mini Rods; Moulded Mold Graphite"
7,KEERTHI INDUSTRIES LIMITED,"KEERTHI INDUSTRIES LIMITED KEERTHI INDUSTRIES LIMITED KEERTHI INDUSTRIES LIMITED Electronics & Electrical Electronics & Electrical Telangana Plot No.40, IDA Balanagar,Hyderabad,Hyderabad,Telangana,500037-India ; ; nan nan nan ; Cement and clinker products; Flat Flexi Cables; Printed Circuit Board; cables"
8,SOUTHERN PETROCHEMICAL INDUSTRIES CORPORATION LIMITED,"SOUTHERN PETROCHEMICAL INDUSTRIES CORPORATION LIMITED SOUTHERN PETROCHEMICAL INDUSTRIES CORPORATION LIMITED SOUTHERN PETROCHEMICAL INDUSTRIES CORPORATION LIMITED Chemical & Petroleum Products Chemical & Petroleum Products Tamil Nadu SPICHOUSE,88MOUNTROAD,GUINDY,CHENNAI,Chennai,Tamil Nadu,600032-India ; nan nan ; nan nan nan ; Micro Nutrients; Non Edible De-Oiled Cake Fertilizers; Organic Fertilizers; Primary Nutrients; Secondary Nutrients; Water Soluble Fertilizers"
9,VEDANTA LIMITED,"VEDANTA LIMITED VEDANTA LIMITED VEDANTA LIMITED Maharashtra 1st Floor, C wing, Unit 103, Corporate Avenue Atul Projects, Chakala, Andheri (East),Mumbai,Mumbai City,Maharashtra,400093-India ; nan nan ; nan nan nan ; CERAMOL; ELECTROLYTIC CATHOIDE COPPER CONFORMING; Test Product; copper; copper cathod"
10,JAIPRAKASH ASSOCIATES LIMITED,"JAIPRAKASH ASSOCIATES LIMITED JAIPRAKASH ASSOCIATES LIMITED JAIPRAKASH ASSOCIATES LIMITED Automotive Automotive Uttar Pradesh SECTOR 128, NOIDA,UP,Uttar Pradesh,201304-India ; nan nan ; nan nan nan ; Construction; Engineering; Fertilisers; Hospitality; Power"
