Id,CompanyName,LegalName,OrgType,Scale,Address,City,State,Country,Pincode,Lat,Lng,Website,Email,Phone,PAN,CIN,GST,DUNS,IndustryDomain,IndustrySubdomain,CoreExpertise
1,ROSSELL INDIA LIMITED,,,,"JINDALTOWERS,BLOCK-B,4THFLOOR,21/1A/3,DARGAROAD,,KOLKATA,West Bengal,700017-India",,West Bengal,,700017,,,,,,,,,,,,
2,SKM EGG PRODUCTS EXPORT INDIA LIMITED,,,,"NO 133, 133/1,   GANDHIJI ROAD,,ERODE,Erode,Tamil Nadu,638001-India",,Tamil Nadu,,638001,,,,,,,,,,,,
3,KABRA DRUGS LIMITED,,,,"208 swadesh Bhavan,,2 Press Complex, AB Road,Indore,Indore,Madhya Pradesh,452011-India",,Madhya Pradesh,,452011,,,,,,,,,,,,
4,SALZER ELECTRONICS LIMITED,,,,"SAMICHETTI PALAYAMJOTHIPURAM POST   COIMBATORE,TAMILNADU,Tamil Nadu,641047-India",,Tamil Nadu,,641047,,,,,,,,,,,,
5,INGERSOLL-RAND (INDIA) LIMITED,,,,"First Floor, Subramanya Arcade   No. 12/1, Bannerghatta Road,Bengaluru,Bangalore,Karnataka,560029-India",,Karnataka,,560029,,,,,,,,,,,,
6,GRAPHITE INDIA LIMITED,,,,"31, CHOWRINGHEE ROAD,,KOLKATA,West Bengal,700016-India",,West Bengal,,700016,,,,,,,,,,,,
7,KEERTHI INDUSTRIES LIMITED,,,,"Plot No.40, IDA Balanagar,Hyderabad,Hyderabad,Telangana,500037-India",,Telangana,,500037,,,,,,,,,,,,
8,SOUTHERN PETROCHEMICAL INDUSTRIES CORPORATION LIMITED,,,,"SPICHOUSE,88MOUNTROAD,GUINDY,CHENNAI,Chennai,Tamil Nadu,600032-India",,Tamil Nadu,,600032,,,,,,,,,,,,
9,VEDANTA LIMITED,,,,"1st Floor, C wing, Unit 103, Corporate Avenue   Atul Projects, Chakala, Andheri (East),Mumbai,Mumbai City,Maharashtra,400093-India",,Maharashtra,,400093,,,,,9879031250,,,,,,,
10,JAIPRAKASH ASSOCIATES LIMITED,,,,"SECTOR 128,   NOIDA,UP,Uttar Pradesh,201304-India",,Uttar Pradesh,,201304,,,,,,,,,,,,
