CompanyMaster_FK_ID,FacilityType,Category,SubCategory,FacilityName,Accreditation
4357,R&D,,,,
989,R&D,,,,
11556,R&D,,,,
1535,R&D,,,,
10567,R&D,,,,
124,R&D,,,,
598,R&D,,,,
990,R&D,,,,
208,R&D,,,,
62,R&D,,,,
944,R&D,,,,
6772,R&D,,,,
995,R&D,,,,
8862,R&D,,,,
36,R&D,,,,
14,R&D,,,,
12134,R&D,,,,
971,R&D,,,,
11767,R&D,,,,
548,R&D,,,,
5813,R&D,,,,
11623,R&D,,,,
998,R&D,,,,
4357,TEST,,,,
3433,TEST,,,,
1072,TEST,,,,
5798,TEST,,,,
9652,TEST,,,,
5761,TEST,,,,
363,TEST,,,,
392,TEST,,,,
387,TEST,,,,
3990,TEST,,,,
394,TEST,,,,
5151,TEST,,,,
5443,TEST,,,,
7075,TEST,,,,
1019,TEST,,,,
11,TEST,,,,
393,TEST,,,,
120,TEST,,,,
2694,TEST,,,,
373,TEST,,,,
254,TEST,,,,
989,TEST,,,,
14912,TEST,,,,
11556,TEST,,,,
1535,TEST,,,,
10567,TEST,,,,
124,TEST,,,,
598,TEST,,,,
990,TEST,,,,
208,TEST,,,,
62,TEST,,,,
944,TEST,,,,
6772,TEST,,,,
995,TEST,,,,
8862,TEST,,,,
2090,TEST,,,,
32,TEST,,,,
36,TEST,,,,
21,TEST,,,,
14,TEST,,,,
2420,TEST,,,,
6611,TEST,,,,
7176,TEST,,,,
6601,TEST,,,,
5847,TEST,,,,
8960,TEST,,,,
972,TEST,,,,
922,TEST,,,,
12134,TEST,,,,
971,TEST,,,,
3480,TEST,,,,
7258,TEST,,,,
441,TEST,,,,
11767,TEST,,,,
548,TEST,,,,
30,TEST,,,,
10849,TEST,,,,
5813,TEST,,,,
998,TEST,,,,
11623,TEST,,,,
