CompanyMaster_FK_ID,ProductId,ProductName,Category,ProductType,Description,HSCode,IsConsumable,DefencePlatform,TechArea
206,,CASTINGS AND FABRICATION,,,,,,,
206,,Cast Iron Mould,,,,,,,
206,,Cast Iron Slag Pot,,,,,,,
1013,,Burnt Lime,,,,,,,
5706,,Fabric,,,,,,,
10460,,Waterproofing works,,,,,,,
15664,,Manpower Services,,,,,,,
6176,,civil works,,,,,,,
323,,CABLES FOR SUBMARINE,,,,,,,
2566,,ALUMINIUM ALLOY TUBES OR PIPES VARIOUS,,,,,,,
1571,,BIODIGESTER TANK,,,,,,,
7111,,TRANSPORTATION,,,,,,,
4750,,WELDING WIRE,,,,,,,
10598,,Tally Plates,,,,,,,
699,,Mechanical Power Transmission Equipment(30),,,,,,,
36,,Various Cotton and Synthetic Fabrics,,,,,,,
199,,cathod copper,,,,,,,
5319,,Light Fittings for submarine,,,,,,,
13351,,Flow Meter,,,,,,,
3298,,Air Compressor,,,,,,,
5713,,Survey Vessels,,,,,,,
14029,,FABRIC / CLOTH,,,,,,,
4054,,Incinerator,,,,,,,
2396,,ALUMINIUM MASTER ALLOY,,,,,,,
2335,,MAGNET,,,,,,,
12988,,MAGNET,,,,,,,
2787,,ALUMINIUM ALLOY,,,,,,,
972,,Various Coated Fabrics,,,,,,,
13899,,satellite communication system(SATCOM),,,,,,,
8658,,Fire Fighting equipment,,,,,,,
1862,,CORRUGATED FIBRE BOARD BOXES,,,,,,,
1847,,Various Non Woven and Synthetic Fabrics ,,,,,,,
15105,,"Fabrications, erection, electrical and piping works ",,,,,,,
1825,,Various Coated Fabrics,,,,,,,
13611,,FOAL Items,,,,,,,
2127,,Press Tools ,,,,,,,
15315,,FILTTERS,,,,,,,
14659,,"AIR RECEIVERS, HYDROPHORE TANKS ",,,,,,,
5847,,Various Plastic Slide Fastener ,,,,,,,
4637,,"POLYTHENE BAG, COLD ROLLED",,,,,,,
5760,,Life raft for submarine,,,,,,,
5760,,"LIFEBOAT,MOTOR(14258)",,,,,,,
10315,,CABLE ACCESSORY ASSY                    ,,,,,,,
124,,Various Cotton and Synthetic Fabrics ,,,,,,,
1456,,FIRE DETECTION SYSTEM,,,,,,,
15050,,PIPE FITTINGS AND PIPE MATERIALS,,,,,,,
14587,,manpower supply,,,,,,,
14584,,chequered plates ,,,,,,,
5759,,"Aircraft refueling, Ground Support Equipment",,,,,,,
7208,,Various Coated Fabrics,,,,,,,
2508,,CASTING,,,,,,,
14280,,Manpower Supply,,,,,,,
3221,,VALVES,,,,,,,
4546,,Alternators for Ships (Up to 1.5 MW),,,,,,,
10567,,Various Cotton and Dope Dyed Fabrics and Garniture items,,,,,,,
10332,,Alarm Monitoring System ,,,,,,,
1002,,Various Non Woven Fabrics,,,,,,,
4077,,fire alarm system,,,,,,,
32,,Various Cotton and Synthetic Fabrics,,,,,,,
703,,Various RUBBERISED Fabrics,,,,,,,
949,,Various Non Woven Fabrics,,,,,,,
1815,,Various Coated Fabrics,,,,,,,
942,,Various Non Woven Fabrics,,,,,,,
3851,,LONG RADIUS BENDS,,,,,,,
3873,,OVERHEAD CRANE ,,,,,,,
15346,,TRAVEL SERVICES,,,,,,,
12850,,PIPE FITTINGS AND PIPE MATERIALS,,,,,,,
3967,,VAPOUR DEGREASER ,,,,,,,
15129,,NDT SERVICES,,,,,,,
3272,,VALVES,,,,,,,
245,,Marine DG,,,,,,,
301,,Nickel Metal,,,,,,,
17,,Gear Box,,,,,,,
2324,,Manpower Services,,,,,,,
2746,,"ALL TYPES OF HR/CR/HRPO/GP, CRCA COILS & SHEETS",,,,,,,
19,,Freight forwarder,,,,,,,
2746,,ALL TYPES OF MS PIPES,,,,,,,
215,,Steel Plates and fittings,,,,,,,
9865,,"ALL TYPE OF CAPCELL, CROSSLINK POLYTHYLENE FOAM SHEET",,,,,,,
234,,Screw Pumps,,,,,,,
